Labels:Font  Score:0.7825304269790649
Book  Score:0.7131574153900146
Handwriting  Score:0.6655262112617493
Electric blue  Score:0.6582802534103394
Paper product  Score:0.6304711699485779
Document  Score:0.6118460297584534
Paper  Score:0.6059648990631104
Writing  Score:0.5951672792434692
Number  Score:0.5902354717254639
Symmetry  Score:0.5472739934921265
