Labels:Sky  Score:0.955170214176178
Cloud  Score:0.9157530069351196
World  Score:0.8962180018424988
Natural landscape  Score:0.8811524510383606
Astronomical object  Score:0.7996450066566467
Cumulus  Score:0.772481381893158
Landscape  Score:0.7720706462860107
Dusk  Score:0.7555242776870728
Horizon  Score:0.7519537806510925
Mountain  Score:0.7485439777374268
