Labels:Handwriting  Score:0.9406312704086304
Plant  Score:0.8636767268180847
Font  Score:0.8357871174812317
Writing  Score:0.7444971203804016
Paper  Score:0.7002631425857544
Paper product  Score:0.6677272915840149
Document  Score:0.6473976373672485
Pattern  Score:0.5803952813148499
Letter  Score:0.5644712448120117
