Labels:Grey  Score:0.8426536321640015
Art  Score:0.8216808438301086
Plant  Score:0.8157421946525574
Painting  Score:0.8113083839416504
Wall  Score:0.8091927766799927
Sky  Score:0.791265606880188
Pattern  Score:0.7395034432411194
Triangle  Score:0.7187531590461731
Illustration  Score:0.7101752758026123
Font  Score:0.7096636891365051
