Labels:Font  Score:0.8203521370887756
Logo  Score:0.6568784713745117
Triangle  Score:0.6546187996864319
Brand  Score:0.6486285328865051
Darkness  Score:0.6453383564949036
Graphics  Score:0.6439582705497742
Advertising  Score:0.6389203071594238
Screenshot  Score:0.6347330808639526
Electric blue  Score:0.5872603058815002
Graphic design  Score:0.5716467499732971
