Labels:Font  Score:0.797059178352356
Rectangle  Score:0.7429779767990112
Pattern  Score:0.7309037446975708
Logo  Score:0.6567383408546448
Circle  Score:0.650730550289154
Typesetting  Score:0.6451367735862732
Symbol  Score:0.6433348655700684
Graphics  Score:0.6378704905509949
Monochrome  Score:0.6216506958007812
Brand  Score:0.6158321499824524
