Labels:Brown  Score:0.9804670214653015
Font  Score:0.8212900757789612
Paper  Score:0.6810491681098938
Document  Score:0.6315427422523499
Paper product  Score:0.6203349828720093
Parallel  Score:0.6096146702766418
Letter  Score:0.6011414527893066
Publication  Score:0.5584593415260315
Event  Score:0.5576018691062927
Symmetry  Score:0.547663152217865
