Labels:Brown  Score:0.9804677963256836
Font  Score:0.8013441562652588
Parallel  Score:0.7455848455429077
Rectangle  Score:0.7156126499176025
Paper  Score:0.6333910822868347
Number  Score:0.6319606900215149
Paper product  Score:0.62716144323349
Document  Score:0.6192387342453003
Event  Score:0.5646320581436157
