Labels:Arm  Score:0.9451501965522766
Human body  Score:0.8874511122703552
Gesture  Score:0.852604866027832
Finger  Score:0.8341338634490967
Nail  Score:0.7961022257804871
Thumb  Score:0.7927753925323486
Cloud  Score:0.7884118556976318
Font  Score:0.7528623342514038
Poster  Score:0.7326739430427551
Happy  Score:0.6909012198448181
