Labels:Brown  Score:0.9804678559303284
Font  Score:0.7767364382743835
Publication  Score:0.7295257449150085
Paper  Score:0.6371297836303711
Paper product  Score:0.6350213289260864
Brand  Score:0.607327401638031
Document  Score:0.5960512757301331
Letter  Score:0.5669220685958862
Graphics  Score:0.5491602420806885
Number  Score:0.5441234111785889
