Labels:Handwriting  Score:0.9573617577552795
Font  Score:0.8326196074485779
Rectangle  Score:0.816291868686676
Writing  Score:0.7731709480285645
Paper  Score:0.7199847102165222
Paper product  Score:0.6996167302131653
Document  Score:0.653192400932312
Letter  Score:0.6338257193565369
Number  Score:0.5775357484817505
Ink  Score:0.5691906809806824
