Labels:Recipe  Score:0.8346948623657227
Font  Score:0.8343437314033508
Parallel  Score:0.7002960443496704
Paper  Score:0.6509644389152527
Paper product  Score:0.6421756148338318
Letter  Score:0.6165156364440918
Event  Score:0.6100355982780457
Document  Score:0.6070491075515747
Stationery  Score:0.5406249165534973
