Labels:Brown  Score:0.9804678559303284
Font  Score:0.7960378527641296
Parallel  Score:0.7081029415130615
Rectangle  Score:0.691566526889801
Paper  Score:0.6913595795631409
Paper product  Score:0.6575884222984314
Document  Score:0.6230438351631165
Event  Score:0.6153085231781006
Ink  Score:0.6059290766716003
Number  Score:0.6046149730682373
