Labels:Font  Score:0.7961600422859192
Paper product  Score:0.6286197304725647
Document  Score:0.592438817024231
Symmetry  Score:0.5904921889305115
Letter  Score:0.5824901461601257
Rectangle  Score:0.5725816488265991
Paper  Score:0.5611963868141174
Publication  Score:0.5416445732116699
Book  Score:0.5379486680030823
Plant  Score:0.531877338886261
