Labels:Brown  Score:0.9804678559303284
Handwriting  Score:0.9536147713661194
Font  Score:0.8469173908233643
Material property  Score:0.8036419153213501
Writing  Score:0.7933242321014404
Paper  Score:0.6968920230865479
Design  Score:0.6894873380661011
Paper product  Score:0.68016117811203
Book  Score:0.6761587262153625
Document  Score:0.6714243292808533
