Labels:Outerwear  Score:0.95772784948349
Green  Score:0.9193949103355408
Blue  Score:0.9170408248901367
Azure  Score:0.8961079716682434
Jersey  Score:0.8743312954902649
Textile  Score:0.8742387294769287
T-shirt  Score:0.8729860782623291
Sleeve  Score:0.8724504709243774
Sportswear  Score:0.8438611626625061
Art  Score:0.8293740749359131
