Labels:Font  Score:0.8535637855529785
Material property  Score:0.8010572791099548
Parallel  Score:0.759620189666748
Recipe  Score:0.6866528987884521
Paper  Score:0.673570990562439
Document  Score:0.6386821269989014
Transparency  Score:0.6231292486190796
Paper product  Score:0.5678835511207581
Transport  Score:0.5214207172393799
Ink  Score:0.5013499855995178
