Labels:Handwriting  Score:0.9480319619178772
Azure  Score:0.893372118473053
Rectangle  Score:0.8737051486968994
Font  Score:0.8292272090911865
Material property  Score:0.8001649379730225
Writing  Score:0.739525318145752
Parallel  Score:0.7362531423568726
Paper  Score:0.7023922204971313
Paper product  Score:0.6888339519500732
Number  Score:0.6487773060798645
