Labels:Brown  Score:0.9804678559303284
Handwriting  Score:0.8865199685096741
Font  Score:0.8227376937866211
Writing  Score:0.7619782090187073
Paper  Score:0.6643286943435669
Paper product  Score:0.6599226593971252
Ink  Score:0.6533530950546265
Document  Score:0.6417895555496216
Parallel  Score:0.6272650361061096
Number  Score:0.6171449422836304
