Labels:Font  Score:0.820182204246521
Paper  Score:0.6787490844726562
Paper product  Score:0.6753841638565063
Document  Score:0.6427481174468994
Publication  Score:0.6298708915710449
Handwriting  Score:0.5902893543243408
Ink  Score:0.5554903149604797
Number  Score:0.5515732765197754
Letter  Score:0.5346049070358276
Parallel  Score:0.5081325173377991
