Labels:Handwriting  Score:0.9126906991004944
Font  Score:0.8581008911132812
Organism  Score:0.8519830703735352
Yellow  Score:0.8492041826248169
Line  Score:0.8248192667961121
Rectangle  Score:0.7497652769088745
Art  Score:0.6902242302894592
Circle  Score:0.6829463243484497
Illustration  Score:0.6356408596038818
Pattern  Score:0.6129968762397766
