Labels:Hair  Score:0.9836722016334534
Joint  Score:0.9768814444541931
Glasses  Score:0.9752956032752991
Head  Score:0.973042368888855
Arm  Score:0.9461022019386292
Shoulder  Score:0.9383482336997986
Vision care  Score:0.9334894418716431
Sunglasses  Score:0.9235852956771851
Muscle  Score:0.9197738766670227
Leg  Score:0.91668701171875
