Labels:Font  Score:0.8222260475158691
Material property  Score:0.8009063005447388
Paper  Score:0.7095344662666321
Paper product  Score:0.6878683567047119
Publication  Score:0.6512277126312256
Document  Score:0.6392366290092468
Rectangle  Score:0.6141440868377686
Book  Score:0.6081526875495911
Number  Score:0.5416895747184753
Stationery  Score:0.5371102690696716
