Labels:Handwriting  Score:0.946399986743927
Font  Score:0.8348802328109741
Material property  Score:0.8015134334564209
Writing  Score:0.742980420589447
Paper  Score:0.7085968852043152
Parallel  Score:0.6972131133079529
Paper product  Score:0.6728004217147827
Ink  Score:0.6724618077278137
Letter  Score:0.6679973602294922
Rectangle  Score:0.6202265620231628
