Labels:Handwriting  Score:0.9244124293327332
Font  Score:0.8432570099830627
Paper  Score:0.7178152799606323
Writing  Score:0.7125702500343323
Paper product  Score:0.681270956993103
Document  Score:0.6450327634811401
Vellum  Score:0.6320360898971558
Pattern  Score:0.6317120790481567
Publication  Score:0.5940141081809998
Letter  Score:0.5684676766395569
