Labels:Brown  Score:0.9804678559303284
Font  Score:0.8037815093994141
Publication  Score:0.7024688124656677
Paper product  Score:0.6558102965354919
Wood  Score:0.6329533457756042
Document  Score:0.6305014491081238
Paper  Score:0.6034459471702576
Letter  Score:0.5904319286346436
Number  Score:0.5640988349914551
Book  Score:0.5270731449127197
