Labels:Head  Score:0.9731175303459167
Eye  Score:0.939194917678833
Mouth  Score:0.9105985164642334
Jaw  Score:0.8819831609725952
Bone  Score:0.8789096474647522
Art  Score:0.8527147769927979
Skull  Score:0.8512400388717651
Painting  Score:0.8319404721260071
Font  Score:0.8165205717086792
Skeleton  Score:0.7752034068107605
