Labels:Handwriting  Score:0.9547666907310486
Font  Score:0.8460169434547424
Material property  Score:0.8020504117012024
Writing  Score:0.7818588018417358
Paper  Score:0.7073972225189209
Paper product  Score:0.6892595291137695
Document  Score:0.6560874581336975
Event  Score:0.579925000667572
Recipe  Score:0.5571216940879822
Ink  Score:0.5420060753822327
