Labels:Handwriting  Score:0.9509341716766357
Font  Score:0.8195466995239258
Writing  Score:0.7510997653007507
Paper  Score:0.6977413892745972
Paper product  Score:0.6826527714729309
Document  Score:0.6502083539962769
Letter  Score:0.607577919960022
Number  Score:0.5188542008399963
Ink  Score:0.5012785196304321
