Labels:Brown  Score:0.9804678559303284
Font  Score:0.7885868549346924
Rectangle  Score:0.7463520169258118
Publication  Score:0.7438092231750488
Paper  Score:0.685147225856781
Paper product  Score:0.6692155599594116
Document  Score:0.6217670440673828
Wood  Score:0.5559960007667542
Brand  Score:0.548934280872345
Carmine  Score:0.5391377806663513
