Labels:Recipe  Score:0.834365963935852
Font  Score:0.8149325251579285
Material property  Score:0.8006677627563477
Parallel  Score:0.7368307709693909
Paper  Score:0.6852158904075623
Paper product  Score:0.6745345592498779
Document  Score:0.6568173170089722
Letter  Score:0.6275349855422974
Stationery  Score:0.6273917555809021
Event  Score:0.6016488075256348
