Labels:Footwear  Score:0.9823758006095886
Shoe  Score:0.9550562500953674
Dog  Score:0.9435823559761047
Leg  Score:0.9164955615997314
Tire  Score:0.8963831067085266
Street fashion  Score:0.8942553997039795
Infrastructure  Score:0.8936260938644409
Temple  Score:0.8763222694396973
Dog breed  Score:0.8714792132377625
Tree  Score:0.8690642714500427
